epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.711,1.08705,3.55089,1.28901,0.01159,0.34426,0.16599,0.13212,0.72653,3.79944,1.06718,7.5e-05,7.5e-05,7.5e-05
2,127.852,0.87528,2.95009,1.13881,0.02602,0.31093,0.2274,0.16915,0.66813,3.59538,0.96557,0.000159282,0.000159282,0.000159282
3,185.052,0.87505,1.86141,1.09912,0.03772,0.26186,0.22297,0.14213,0.7629,3.45461,1.01641,0.0002401,0.0002401,0.0002401
4,240.365,0.85491,1.4057,1.11571,0.07795,0.63097,0.47609,0.38582,0.74941,3.24598,1.01264,0.000317452,0.000317452,0.000317452
5,298.687,0.8624,1.25978,1.08757,0.9758,0.20296,0.59461,0.48088,0.7781,2.94428,0.99784,0.00039134,0.00039134,0.00039134
6,355.764,0.83117,1.16205,1.0624,0.96533,0.21739,0.6789,0.54343,0.79543,2.83448,1.04399,0.000461763,0.000461763,0.000461763
7,410.939,0.83156,1.05751,1.06582,0.98809,0.24367,0.54466,0.40328,0.94489,3.01226,1.17574,0.00052872,0.00052872,0.00052872
8,466.682,0.79082,1.055,1.02066,0.97536,0.21739,0.64227,0.47346,0.93737,2.9245,1.17189,0.000592213,0.000592213,0.000592213
9,520.867,0.78881,0.97801,1.04539,0.93328,0.24664,0.73999,0.52583,0.96019,2.79123,1.24685,0.00065224,0.00065224,0.00065224
10,574.867,0.74431,0.94187,1.01674,0.9475,0.31896,0.80272,0.59948,0.91097,2.56062,1.13396,0.000708803,0.000708803,0.000708803
11,629.728,0.76279,0.91646,1.01373,0.86875,0.41604,0.8422,0.62882,0.9006,2.28803,1.12582,0.0007619,0.0007619,0.0007619
12,684.327,0.75073,0.88303,1.00983,0.68876,0.33125,0.74078,0.52868,0.98368,2.47463,1.1965,0.000811533,0.000811533,0.000811533
13,740.585,0.77602,0.88313,1.01294,0.73672,0.43539,0.80651,0.60725,0.92905,2.30335,1.1559,0.0008577,0.0008577,0.0008577
14,794.158,0.7226,0.83951,1.02021,0.7329,0.66939,0.83397,0.61444,0.93614,2.01106,1.1918,0.000900402,0.000900402,0.000900402
15,848.077,0.7301,0.79795,0.97658,0.78687,0.75207,0.88766,0.66456,0.91467,1.79623,1.18714,0.0009035,0.0009035,0.0009035
16,902.12,0.71515,0.82203,1.00018,0.79412,0.7298,0.88052,0.65132,0.89964,1.80457,1.17446,0.00087875,0.00087875,0.00087875
17,956.202,0.71848,0.79583,1.00537,0.83832,0.73787,0.88496,0.65977,0.86998,1.68791,1.12273,0.000854,0.000854,0.000854
18,1009.92,0.71006,0.7704,0.98505,0.8131,0.82131,0.89838,0.68337,0.86051,1.51024,1.06111,0.00082925,0.00082925,0.00082925
19,1064.58,0.70809,0.75016,0.99779,0.874,0.86644,0.9171,0.6888,0.80348,1.35962,1.01799,0.0008045,0.0008045,0.0008045
20,1118.97,0.68844,0.74094,0.97378,0.93094,0.85063,0.93242,0.71677,0.81272,1.3497,1.01153,0.00077975,0.00077975,0.00077975
21,1174.72,0.70595,0.74757,0.99047,0.86266,0.85689,0.92282,0.71697,0.85837,1.36206,1.04596,0.000755,0.000755,0.000755
22,1228.69,0.69125,0.70458,0.9804,0.91314,0.87083,0.91449,0.71974,0.78849,1.22799,1.0104,0.00073025,0.00073025,0.00073025
23,1283.28,0.69298,0.72878,0.99167,0.91208,0.90215,0.92997,0.73263,0.76618,1.13018,1.00064,0.0007055,0.0007055,0.0007055
24,1336.93,0.65949,0.66371,0.96647,0.9121,0.88284,0.93187,0.75193,0.74515,1.07929,0.96895,0.00068075,0.00068075,0.00068075
25,1664.67,0.6551,0.68003,0.9691,0.92467,0.88297,0.94027,0.76285,0.73249,1.01289,0.96246,0.000656,0.000656,0.000656
26,1718.97,0.63832,0.66236,0.95962,0.94191,0.87977,0.94778,0.76502,0.71977,0.95972,0.9703,0.00063125,0.00063125,0.00063125
27,1770.86,0.64356,0.67084,0.97065,0.91648,0.88993,0.94502,0.7685,0.7099,0.90296,0.95931,0.0006065,0.0006065,0.0006065
28,1821.94,0.63359,0.63105,0.9475,0.96763,0.92335,0.95985,0.78049,0.70568,0.88451,0.94598,0.00058175,0.00058175,0.00058175
29,1873.62,0.60769,0.64002,0.96283,0.96609,0.90646,0.96446,0.79486,0.70793,0.8782,0.93721,0.000557,0.000557,0.000557
30,1926.24,0.60976,0.62328,0.93995,0.92848,0.89827,0.9531,0.7837,0.70291,0.86009,0.91738,0.00053225,0.00053225,0.00053225
31,1979.59,0.63163,0.63885,0.95422,0.89662,0.89254,0.93089,0.75798,0.72099,0.91427,0.93726,0.0005075,0.0005075,0.0005075
32,2034.71,0.59275,0.60137,0.93275,0.89802,0.92687,0.95041,0.77431,0.7081,0.89359,0.93688,0.00048275,0.00048275,0.00048275
33,2088.13,0.59463,0.63293,0.96287,0.92272,0.90041,0.95149,0.77485,0.71059,0.8493,0.93373,0.000458,0.000458,0.000458
34,2141.79,0.58829,0.61425,0.94566,0.93855,0.9149,0.97178,0.79813,0.71207,0.82562,0.93973,0.00043325,0.00043325,0.00043325
35,2196.8,0.57895,0.59852,0.94214,0.93009,0.92068,0.97068,0.79238,0.71589,0.81409,0.9323,0.0004085,0.0004085,0.0004085
36,2250.2,0.57456,0.58453,0.93932,0.93766,0.95304,0.96253,0.79132,0.69398,0.76639,0.93139,0.00038375,0.00038375,0.00038375
37,2302.92,0.56716,0.56712,0.94746,0.93959,0.95644,0.95742,0.80473,0.68178,0.76402,0.93051,0.000359,0.000359,0.000359
38,2358.1,0.56381,0.57583,0.92616,0.92989,0.95816,0.95285,0.7921,0.69171,0.77516,0.93917,0.00033425,0.00033425,0.00033425
39,2412.41,0.55436,0.5691,0.9388,0.91115,0.94134,0.9563,0.78422,0.6985,0.76703,0.93745,0.0003095,0.0003095,0.0003095
40,2466.33,0.52804,0.56041,0.92859,0.93712,0.91307,0.9513,0.79003,0.70946,0.77765,0.94386,0.00028475,0.00028475,0.00028475
41,2521.89,0.51237,0.73612,0.88784,0.936,0.91562,0.95194,0.78713,0.70958,0.77922,0.94567,0.00026,0.00026,0.00026
42,2574.82,0.49598,0.68006,0.88154,0.92585,0.94152,0.94669,0.79434,0.70766,0.81743,0.9431,0.00023525,0.00023525,0.00023525
43,2627.68,0.48676,0.66197,0.87441,0.94884,0.9146,0.9443,0.79433,0.71579,0.83149,0.94868,0.0002105,0.0002105,0.0002105
